model_name,image_name,dice,iou,ssim,accuracy,precision,recall,f1_score,hausdorff
OurModel,01,0.779349,0.638471,0.99873,0.965892,0.709187,0.86492,0.779349,254.285273
OurModel,02,0.754216,0.605415,0.998625,0.961253,0.680641,0.845625,0.754216,140.292551
OurModel,03,0.761327,0.614632,0.998754,0.962551,0.68969,0.849572,0.761327,139.817739
OurModel,04,0.821238,0.696695,0.998849,0.967866,0.761229,0.891517,0.821238,17.204651
OurModel,05,0.796836,0.662283,0.998809,0.965196,0.730981,0.875731,0.796836,16.03122
OurModel,06,0.827165,0.705269,0.998724,0.953807,0.821298,0.833116,0.827165,217.506322
OurModel,07,0.707245,0.547084,0.999451,0.980014,0.697713,0.717041,0.707245,390.288355
OurModel,08,0.804923,0.673532,0.998326,0.960198,0.728361,0.89947,0.804923,465.021505
OurModel,09,0.703146,0.542194,0.998621,0.952167,0.691155,0.71556,0.703146,266.182268
OurModel,10,0.803851,0.672033,0.99583,0.90501,0.723793,0.903822,0.803851,64.031242
